s,Pa,rpm
9.82742000,0.179761976003647,1132.52820807375
9.82744000,0.155460178852081,1132.53180689267
9.82746000,0.143473535776138,1132.53540571159
9.82748000,0.146120548248291,1132.53900453052
9.82750000,0.125301167368889,1132.54260334944
9.82752000,0.0846573710441589,1132.54620216836
9.82754000,0.0623455196619034,1132.54980098729
9.82756000,0.0592197962105274,1132.55339980621
9.82758000,0.0228844285011291,1132.55699862514
9.82760000,-0.0699580162763596,1132.56059744406
9.82762000,-0.170563146471977,1132.56419626298
9.82764000,-0.248884588479996,1132.56779508191
9.82766000,-0.330688446760178,1132.57139390083
9.82768000,-0.417805105447769,1132.57499271975
9.82770000,-0.494033336639404,1132.57859153868
9.82772000,-0.534414291381836,1132.5821903576
9.82774000,-0.580277025699615,1132.58578917652
9.82776000,-0.639628231525421,1132.58938799545
9.82778000,-0.685490965843201,1132.59298681437
9.82780000,-0.719226241111755,1132.5965856333
9.82782000,-0.770833551883698,1132.60018445222
9.82784000,-0.831677198410034,1132.60378327114
9.82786000,-0.874489307403564,1132.60738209007
9.82788000,-0.882139384746552,1132.61098090899
9.82790000,-0.875549972057343,1132.61457972791
9.82792000,-0.878441035747528,1132.61817854684
9.82794000,-0.853116095066071,1132.62177736576
9.82796000,-0.808924198150635,1132.62537618468
9.82798000,-0.77608060836792,1132.62897500361
9.82800000,-0.754904568195343,1132.63257382253
9.82802000,-0.716691851615906,1132.63617264146
9.82804000,-0.644171357154846,1132.63977146038
9.82806000,-0.586988389492035,1132.6433702793
9.82808000,-0.546879649162292,1132.64696909823
9.82810000,-0.477015495300293,1132.65056791715
9.82812000,-0.360922545194626,1132.65416673607
9.82814000,-0.256835013628006,1132.657765555
9.82816000,-0.1948461830616,1132.66136437392
9.82818000,-0.130820468068123,1132.66496319285
9.82820000,-0.0549113638699055,1132.66856201177
9.82822000,0.00098558864556253,1132.67216083069
9.82824000,0.0296521373093128,1132.67575964962
9.82826000,0.0753083601593971,1132.67935846854
9.82828000,0.148992836475372,1132.68295728746
9.82830000,0.214144945144653,1132.68655610639
9.82832000,0.243008598685265,1132.69015492531
9.82834000,0.275617510080338,1132.69375374423
9.82836000,0.32412725687027,1132.69735256316
9.82838000,0.362480729818344,1132.70095138208
9.82840000,0.375190109014511,1132.70455020101
9.82842000,0.371566921472549,1132.70814901993
9.82844000,0.382314503192902,1132.71174783885
9.82846000,0.379517316818237,1132.71534665778
9.82848000,0.348738789558411,1132.7189454767
9.82850000,0.310441642999649,1132.72254429562
9.82852000,0.283089220523834,1132.72614311455
9.82854000,0.234401136636734,1132.72974193347
9.82856000,0.159965723752975,1132.73334075239
9.82858000,0.0998354330658913,1132.73693957132
9.82860000,0.0714223235845566,1132.74053839024
9.82862000,0.0295019522309303,1132.74413720917
9.82864000,-0.0442951694130898,1132.74773602809
9.82866000,-0.114778831601143,1132.75133484701
9.82868000,-0.152428314089775,1132.75493366594
9.82870000,-0.18638888001442,1132.75853248486
9.82872000,-0.24719500541687,1132.76213130378
9.82874000,-0.301214665174484,1132.76573012271
9.82876000,-0.322343796491623,1132.76932894163
9.82878000,-0.349029779434204,1132.77292776056
9.82880000,-0.403546899557114,1132.77652657948
9.82882000,-0.44425642490387,1132.7801253984
9.82884000,-0.442998617887497,1132.78372421733
9.82886000,-0.42326807975769,1132.78732303625
9.82888000,-0.409563690423965,1132.79092185517
9.82890000,-0.389898866415024,1132.7945206741
9.82892000,-0.351489067077637,1132.79811949302
9.82894000,-0.331054508686066,1132.80171831194
9.82896000,-0.331495702266693,1132.80531713087
9.82898000,-0.329806119203567,1132.80891594979
9.82900000,-0.284178048372269,1132.81251476872
9.82902000,-0.235987454652786,1132.81611358764
9.82904000,-0.215271323919296,1132.81971240656
9.82906000,-0.200693994760513,1132.82331122549
9.82908000,-0.155582204461098,1132.82691004441
9.82910000,-0.105279639363289,1132.83050886333
9.82912000,-0.078105553984642,1132.83410768226
9.82914000,-0.0626740530133247,1132.83770650118
9.82916000,-0.0299431215971708,1132.8413053201
9.82918000,-0.00157694180961698,1132.84490413903
9.82920000,-0.00876704510301352,1132.84850295795
9.82922000,-0.0258881282061338,1132.85210177688
9.82924000,-0.0177124347537756,1132.8557005958
9.82926000,-0.00453370762988925,1132.85929941472
9.82928000,-0.0296239778399467,1132.86289823365
9.82930000,-0.0621202439069748,1132.86649705257
9.82932000,-0.0581403411924839,1132.87009587149
9.82934000,-0.0523300617933273,1132.87369469042
9.82936000,-0.068531259894371,1132.87729350934
9.82938000,-0.0855397060513496,1132.88089232826
9.82940000,-0.0677240192890167,1132.88449114719
9.82942000,-0.0519546009600162,1132.88808996611
9.82944000,-0.0643166974186897,1132.89168878504
9.82946000,-0.0981176942586899,1132.89528760396
9.82948000,-0.108630634844303,1132.89888642288
9.82950000,-0.110404700040817,1132.90248524181
9.82952000,-0.126540198922157,1132.90608406073
9.82954000,-0.138019949197769,1132.90968287965
9.82956000,-0.126192882657051,1132.91328169858
9.82958000,-0.101008750498295,1132.9168805175
9.82960000,-0.0820385217666626,1132.92047933643
9.82962000,-0.0660907551646233,1132.92407815535
9.82964000,-0.0310695078223944,1132.92767697427
9.82966000,0.0142018627375364,1132.9312757932
9.82968000,0.041948527097702,1132.93487461212
9.82970000,0.0765379965305328,1132.93847343104
9.82972000,0.137381672859192,1132.94207224997
9.82974000,0.199548840522766,1132.94567106889
9.82976000,0.247542306780815,1132.94926988781
9.82978000,0.293095290660858,1132.95286870674
9.82980000,0.353779375553131,1132.95646752566
9.82982000,0.415702491998673,1132.96006634459
9.82984000,0.44929701089859,1132.96366516351
9.82986000,0.467760354280472,1132.96726398243
9.82988000,0.517180562019348,1132.97086280136
9.82990000,0.582163751125336,1132.97446162028
9.82992000,0.634146511554718,1132.9780604392
9.82994000,0.667365491390228,1132.98165925813
9.82996000,0.721995294094086,1132.98525807705
9.82998000,0.773912310600281,1132.98885689598
9.83000000,0.791990876197815,1132.9924557149
9.83002000,0.786781311035156,1132.99605453382
9.83004000,0.801921844482422,1132.99965335275
9.83006000,0.834680914878845,1133.00325217167
9.83008000,0.839759051799774,1133.00685099059
9.83010000,0.829405665397644,1133.01044980952
9.83012000,0.833385586738586,1133.01404862844
9.83014000,0.83872652053833,1133.01764744736
9.83016000,0.800110220909119,1133.02124626629
9.83018000,0.733090221881866,1133.02484508521
